ENTIDAD,MUNICIPIO,RAZON SOCIAL VISITADA
AGUASCALIENTES,AGUASCALIENTES,MERENDERO SAN PANCHO - EXQUISIMAR S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,MICHELADAS GALERIAS - ENRIQUE EDUARDO ROJERO GONZALEZ
AGUASCALIENTES,AGUASCALIENTES,MOJITO ROYAL - OPERADORA DE SERVICIOS INTEGRALES EH DIVERSION S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,MOTEL CASTILLO-CIA. HOTELERA FENTOS  S. A. DE C. V.
AGUASCALIENTES,AGUASCALIENTES,MOTEL LUA- COMPA—IA HOTELERA PESCADORES  S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,MOTEL PEDRA- PEDRA  S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,MOTEL VILLA MIRO- MIRO HOTELERIA  S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,NUEVA WAL MART DE MEXICO  S. DE R. L. DE C. V.
AGUASCALIENTES,AGUASCALIENTES,NUEVA WAL MART DE MEXICO  S. DE R.L. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,OFFICE DEPOT DE MEXICO  S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,PASTEURIZADORA  AGUASCALIENTES  S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,PIZZAS LAS CUADRADAS - COMERCIALIZADORA DEL CENTRO S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,RESTAURANTE AUGUSTOÔS S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,RESTAURANTE LOS ARCOS- MARIS BAJA  S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,RUIDOSO - PEYC CONSTRUCCIONES S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,SAM'S CLUB- NUEVA WAL MART DE MEXICO  S DE RL DE CV
AGUASCALIENTES,AGUASCALIENTES,SAN PANCHO - HUGO SANDOVAL RUVALCABA
AGUASCALIENTES,AGUASCALIENTES,SANBORN HERMANOS  S.  A.
AGUASCALIENTES,AGUASCALIENTES,SANTISIMA- AROB  S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,SEARS OPERADORA DE MEXICO  S. A. DE C. V.
AGUASCALIENTES,AGUASCALIENTES,SINATRA LIVE - MARIOLLA S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,SINCLAIR - OPERADORA DE SERVICIOS INTEGRALES EN DIVERSION S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,SONORA'S MEAT BOUTIQUE DE CORTES FINOS
AGUASCALIENTES,AGUASCALIENTES,SUPERAMA-NUEVA WAL MART DE MEXICO  S. DE R. L. DE C. V.
AGUASCALIENTES,AGUASCALIENTES,SUSHITO - JUAN FERNANDO OROZCO CARDONA
AGUASCALIENTES,AGUASCALIENTES,THAI AGUASCALIENTES  S. DE R.L. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,THE GREAT WOODSTOCK- ALBERTO LOPEZ REED
AGUASCALIENTES,AGUASCALIENTES,TIENDAS CHEDRAUI  S. A. DE C. V.
AGUASCALIENTES,AGUASCALIENTES,TIENDAS CHEDRAUI S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,TIENDAS COMERCIAL MEXICANA  S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,TIENDAS COMERCIAL MEXICANA  S.A. DE C.V. Y/O BODEGA AGUASCALIENTES CASA BLANCA
AGUASCALIENTES,AGUASCALIENTES,TIENDAS EXTRA S.A DE C.V
AGUASCALIENTES,AGUASCALIENTES,TIENDAS SORIANA  S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,TIENDAS SORIANA S. A . DE C. V.
AGUASCALIENTES,AGUASCALIENTES,VICKY BOUTIQUE- ROCIO ESPARZA ORTIZ
AGUASCALIENTES,AGUASCALIENTES,VIRREY BUFFETS S.A. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,WING'S AIR FORCE- FRANQUICIAS WING'S AIR FORCE  S. DE R.L. DE C.V.
AGUASCALIENTES,AGUASCALIENTES,ZAPATERIAS TANIA -ISABEL PATRICIA RODRIGUEZ AGUAYO
AGUASCALIENTES,JESUS MARIA,CREMERIA AGUASCALIENTES  S.A. DE C.V.
AGUASCALIENTES,JESUS MARIA,CREMERIA LA PASTORA  S.A. DE C.V.
AGUASCALIENTES,JESUS MARIA,CREMERIA MARGARITAS  S.A. DE C.V.
AGUASCALIENTES,JESUS MARIA,LECHE LA ESCONDIDA  Y/O  LACTO MARK S.A. DEC.V.
AGUASCALIENTES,JESUS MARIA,MOTEL LOS ARCOS S.A. DE C.V.
BAJA CALIFORNIA,ENSENADA,CALIMAX SAN QUINTIN
